plot_id,harvested,vegetation_type,milpa,artisan,latitude,longitude,plots_per_ha,ba_totaltrees,ba_seedlings,ba_saplings,ba_trees05to09,ba_trees10to14,ba_trees15plus,stemden_seedlings,stemden_totaltrees,stemden_saplings,stemden_trees05to09,stemden_trees10to14,stemden_trees15plus,stemden_totaltrees_count,stemden_seedlings_count,stemden_saplings_count,stemden_trees05to09_count,stemden_trees10to14_count,stemden_trees15plus_count
16,yes,juuche,yes,Silverio,1.2221152549128593,0.21184196309413778,0.031415926535897934,5.965,0,0.18,1.5324999999999998,0.725,3.7075,2500,541.1268065124442,541.1268065124441,318.3098861837907,63.66197723675813,159.15494309189535,17.000000000000004,5,17,10.000000000000002,2,5.000000000000001
17,no,juuche,yes,Silverio,1.1546042846825577,0.1476389515002738,0.031415926535897934,6.7625,0,0.10750000000000001,0.7225,3.2174999999999994,2.8225,8000,604.7887837492024,190.9859317102744,190.9859317102744,286.4788975654116,127.32395447351627,19.000000000000004,16,6,6,9,4
18,no,juuche,yes,Silverio,1.2356174489586893,0.04944611023736526,0.031415926535897934,5.5525,0,0.35,2.6800000000000006,2.3099999999999996,0.5625,9500,1082.2536130248882,541.1268065124441,827.6057040778558,222.81692032865345,31.830988618379067,34,19,17,26.000000000000004,7,1
19,no,juuche,yes,Silverio,1.2311167176100792,-0.018533549098791745,0.031415926535897934,11.13,0,1.7424999999999993,7.999999999999996,3.1299999999999994,0,3000,2514.6481008519463,2992.1129301276324,2228.169203286535,286.4788975654116,0,79,6,94,70.00000000000001,9,0
20,no,nukuuchche,yes,Abelardo,-0.6366867920809226,1.1899937279828623,0.031415926535897934,6.165,0,0.08,0.4275,2.4774999999999996,3.2600000000000002,4000,509.29581789406507,63.66197723675813,159.15494309189535,222.81692032865345,127.32395447351627,16,8,2,5.000000000000001,7,4
21,yes,nukuuchche,yes,Abelardo,-0.6366867920809226,1.3146231034321614,0.031415926535897934,10.33,0,0.0475,1.7724999999999995,2.6174999999999997,5.9399999999999995,4000,795.7747154594765,159.15494309189535,350.1408748021697,222.81692032865345,222.81692032865345,24.999999999999996,8,5.000000000000001,11,7,7
22,no,nukuuchche,yes,Abelardo,-0.5196677770159109,1.3183997511725223,0.031415926535897934,14.015,0,0.04,1.7700000000000002,3.0550000000000006,9.190000000000001,7500,1145.9155902616465,31.830988618379067,509.29581789406507,254.64790894703253,381.9718634205488,36,15,1,16,8,12
23,yes,nukuuchche,yes,Abelardo,-0.47015973218062507,1.2504200918363653,0.031415926535897934,9.43,0,0.115,1.27,2.78,5.379999999999999,2500,763.9437268410975,159.15494309189535,318.3098861837907,222.81692032865345,222.81692032865345,23.999999999999996,5,5.000000000000001,10.000000000000002,7,7
24,yes,keelenche,yes,Silvia and Efrain,0.23195435820886964,-0.5812540624898523,0.031415926535897934,13.785,0,0.5175000000000001,2.72,4.7075,6.3575,4000,1432.3944878270581,1082.2536130248882,700.2817496043394,413.8028520389279,318.3098861837907,45.00000000000001,8,34,22,13.000000000000002,10.000000000000002
25,yes,keelenche,yes,Silvia and Efrain,0.2589587463011054,-0.603913948935882,0.031415926535897934,10.002500000000001,0,0.20750000000000002,1.49,4.8225,3.6900000000000004,8000,1082.2536130248882,222.81692032865345,445.6338406573069,445.6338406573069,190.9859317102744,34,16,7,14,14,6
26,no,keelenche,yes,Silvia and Efrain,0.22745362686025963,-0.607690596676243,0.031415926535897934,11.835,0,0.065,1.115,4.765000000000001,5.955,3000,1018.5916357881301,127.32395447351627,286.4788975654116,445.6338406573069,286.4788975654116,32,6,4,9,14,9
27,no,keelenche,yes,Silvia and Efrain,0.2634594776497154,-0.5585941760438227,0.031415926535897934,13.1775,0,0.5825,4.357499999999999,6.792500000000001,2.0275,12000,1878.028328484365,795.7747154594766,1082.2536130248882,700.2817496043394,95.4929658551372,59,24,25,34,22,3
28,yes,nukuuchche,yes,Silvia and Efrain,-0.18661365721589143,1.4581357175851972,0.031415926535897934,5.4625,0,0.09,0.77,1.085,3.6075,1000,381.9718634205488,95.4929658551372,190.9859317102744,95.4929658551372,95.4929658551372,12,2,3,6,3,3
29,yes,nukuuchche,yes,Alebardo and Mirna,-0.15060780642643565,1.5563285588481057,0.031415926535897934,11.125,0,0.05,1.405,3.8175,5.9025,3500,1018.5916357881301,63.66197723675813,413.8028520389279,350.1408748021697,254.64790894703253,32,7,2,13.000000000000002,11,8
30,no,nukuuchche,yes,Alebardo and Mirna,-0.33063706037256324,1.5261153769213542,0.031415926535897934,6.1375,0,0.04,0.2225,0.6625,5.2524999999999995,1500,318.3098861837907,31.830988618379067,63.66197723675813,63.66197723675813,190.9859317102744,10.000000000000002,3,1,2,2,6
31,no,nukuuchche,yes,Alebardo and Mirna,-0.38914656790506913,1.480795604031227,0.031415926535897934,6.9675,0,0.04,1.0899999999999999,0.725,5.1525,9000,477.46482927568604,31.830988618379067,254.64790894703253,63.66197723675813,159.15494309189535,15.000000000000002,18,1,8,2,5.000000000000001
32,no,keelenche,yes,Alebardo and Mirna,1.6766891211265005,0.5064204868828635,0.031415926535897934,3.9875,0,0.543125,3.7375000000000007,0.25,0,9000,1018.5916357881301,859.4366926962348,986.7606471697511,31.830988618379067,0,32,18,27,31.000000000000004,1,0
33,no,keelenche,yes,Alebardo and Mirna,1.7126949719153806,0.608389975888065,0.031415926535897934,5.4925,0,0.19250000000000003,1.96,2.7224999999999997,0.8099999999999999,11000,795.7747154594766,190.9859317102744,509.29581789406507,254.64790894703253,31.830988618379067,25,22,6,16,8,1
34,yes,keelenche,yes,Alebardo and Mirna,1.3976437775098012,0.5441869642922689,0.031415926535897934,10.4,0,0.3375,4.095000000000001,4.02,2.285,6500,1496.0564650638162,668.4507609859604,1018.5916357881301,381.9718634205488,95.4929658551372,47,13,21,32,12,3
35,yes,keelenche,yes,Alebardo and Mirna,-0.5421714337589609,-0.4604013347809141,0.031415926535897934,4.5375,0,0.0225,0.9249999999999999,2.9725,0.64,8000,604.7887837492023,31.830988618379067,286.4788975654116,286.4788975654116,31.830988618379067,19,16,1,9,9,1
36,yes,keelenche,yes,Alebardo and Mirna,-0.47015973218062507,-0.4943911644499587,0.031415926535897934,4.92,0,0.04,1.495,2.3,1.125,14500,604.7887837492023,222.81692032865345,350.1408748021697,190.9859317102744,63.66197723675813,19,29,7,11,6,2
37,no,keelenche,yes,MariaSilvia and Emilio,-0.5961802099428568,-0.539710937340086,0.031415926535897934,8.56,0,0.125,2.1799999999999997,4.692500000000001,1.6875,7000,1018.5916357881301,127.32395447351627,509.29581789406507,413.8028520389279,95.4929658551372,32,14,4,16,13.000000000000002,3
38,no,keelenche,yes,MariaSilvia and Emilio,-0.7537058071459344,-0.48683786896730474,0.031415926535897934,4.0649999999999995,0,0.30624999999999997,1.2875,2.055,0.7224999999999999,11000,604.7887837492023,509.29581789406507,381.9718634205488,190.9859317102744,31.830988618379067,19,22,16,12,6,1
39,yes,keelenche,no,MariaSilvia and Emilio,-0.5646750905025867,-0.7587565063119328,0.031415926535897934,12.872499999999999,0,0.2025,1.6500000000000001,6.325000000000001,4.8975,6500,1305.0705333535416,413.8028520389279,477.464829275686,572.9577951308232,254.64790894703253,41,13,13.000000000000002,15,18,8
40,no,keelenche,no,Silverio and Paulina,-0.43415388139174493,-0.7247666766428882,0.031415926535897934,8.514999999999999,0,0.175,0.7925000000000001,5.317500000000001,2.4050000000000002,23500,827.6057040778558,254.64790894703253,190.9859317102744,509.29581789406507,127.32395447351627,26.000000000000004,47,8,6,16,4
41,yes,keelenche,no,Silverio and Paulina,-0.5106663143186908,-0.8569493475748413,0.031415926535897934,4.4375,0,0.19500000000000003,1.8824999999999996,2.5549999999999997,0,1500,700.2817496043394,381.9718634205488,445.6338406573069,254.64790894703253,0,22,3,12,14,8,0
42,no,keelenche,no,Silverio and Paulina,-0.4791611948778451,-0.807852926942421,0.031415926535897934,5.1075,0,0.3825,2.7125,1.2925,1.1024999999999998,8500,923.0986699329928,509.29581789406507,763.9437268410976,127.32395447351627,31.830988618379067,28.999999999999996,17,16,24,4,1
43,yes,nukuuchche,no,Silverio and Paulina,0.15994265663053372,-2.2354257729959217,0.031415926535897934,6.515,0,0.0075,0.665,1.6374999999999997,4.2124999999999995,7500,445.63384065730696,95.4929658551372,159.15494309189535,159.15494309189535,127.32395447351627,14.000000000000002,15,3,5.000000000000001,5.000000000000001,4
44,no,nukuuchche,no,Silverio and Paulina,0.23645508955747965,-2.0465933859508265,0.031415926535897934,6.4525,0,0.08,0.8674999999999999,2.67,2.915,4500,604.7887837492023,63.66197723675813,222.81692032865345,254.64790894703253,127.32395447351627,19,9,2,7,8,4
45,no,nukuuchche,no,Silverio and Paulina,0.25445801495249537,-1.8917508285747757,0.031415926535897934,13.5925,0,0.09,1.265,3.7499999999999996,8.577499999999999,4500,986.7606471697511,127.32395447351627,350.1408748021697,286.4788975654116,350.1408748021697,31.000000000000004,9,4,11,9,11
46,yes,nukuuchche,no,Felipe and Bacilia,0.5109997018255689,-1.8199945214982578,0.031415926535897934,10.274999999999999,0,0.0675,1.235,3.5449999999999995,5.494999999999999,4500,923.0986699329928,95.4929658551372,350.1408748021697,381.9718634205488,190.9859317102744,28.999999999999996,9,3,11,12,6
47,no,keelenche,yes,Felipe and Bacilia,-2.1489325252282794,-0.6756702560123999,0.031415926535897934,12.0925,0,0.024999999999999998,1.5174999999999998,3.0299999999999994,7.544999999999999,3000,891.2676813146138,63.66197723675813,350.1408748021697,254.64790894703253,286.4788975654116,28,6,2,11,8,9
48,yes,keelenche,yes,Silvia and Efrain,-1.9599018085849318,-0.7587565063119328,0.031415926535897934,12.3375,0,0.35750000000000004,2.6225,4.777500000000001,4.9375,2500,1336.9015219719208,477.464829275686,700.2817496043394,413.8028520389279,222.81692032865345,42,5,15,22,13.000000000000002,7
49,no,keelenche,yes,Silvia and Efrain,-2.472985182331654,-0.06385332198891905,0.031415926535897934,10.38,0,0.8499999999999998,5.107499999999999,4.550000000000001,0.7224999999999999,2000,1878.028328484365,1273.2395447351628,1368.7325105902999,477.464829275686,31.830988618379067,59,4,40.00000000000001,43,15,1
50,yes,keelenche,yes,Silvia and Efrain,-2.4864873763774846,-0.003426958135415976,0.031415926535897934,6.4975000000000005,0,0.22000000000000003,1.7699999999999998,2.5549999999999997,2.1725,6000,732.1127382227186,318.3098861837907,413.8028520389279,222.81692032865345,95.4929658551372,23.000000000000004,12,10.000000000000002,13.000000000000002,7,3
51,yes,keelenche,yes,Silvia and Efrain,1.469655479088137,0.12120241731388318,0.031415926535897934,8.05,0,0.1975,1.3199999999999998,4.965,1.7650000000000001,4500,923.098669932993,413.8028520389279,381.9718634205488,445.6338406573069,95.4929658551372,29,9,13.000000000000002,12,14,3
52,no,keelenche,yes,Silvia and Efrain,1.4966598671803728,0.20806531535377687,0.031415926535897934,5.765,0,0.10250000000000001,1.8775,1.0425,2.8449999999999998,5000,636.6197723675813,95.4929658551372,445.6338406573069,95.4929658551372,95.4929658551372,20,10,3,14,3,3
53,yes,keelenche,yes,Silverio and Heidi,1.3796408521153611,0.23450184954016748,0.031415926535897934,6.0475,0,0.14250000000000002,0.7025,2.9824999999999995,2.3625,7500,509.29581789406507,350.1408748021697,159.15494309189535,254.64790894703253,95.4929658551372,16,15,11,5.000000000000001,8,3
54,no,keelenche,yes,Silverio and Heidi,1.537166449317863,0.18540542890774717,0.031415926535897934,6.7675,0,0.275,2.9200000000000004,3.2849999999999993,0.5625,3500,1145.9155902616465,286.4788975654116,795.7747154594766,318.3098861837907,31.830988618379067,36,7,9,25,10.000000000000002,1
